activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
sg1iterdeconid0000935,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,1.687000,3.401605,75.9336
sg1iterdeconid0000936,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.101000,0.118354,100.0
sg1iterdeconid0000937,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.543000,0.818943,79.0055
sg1iterdeconid0000938,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.393000,0.713116,68.9567
sg1iterdeconid0000939,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.116000,0.210487,100.0
sg1iterdeconid0000940,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.276000,0.301091,100.0
sg1iterdeconid0000941,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.472000,0.635055,100.0
sg1iterdeconid0000942,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.232000,0.253091,100.0
sg1iterdeconid0000943,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.723000,0.788727,99.8617
sg1iterdeconid0000944,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.173000,0.232764,100.0
sg1iterdeconid0000945,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,1.680000,3.048436,43.4524
sg1iterdeconid0000946,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,1.060000,1.598673,99.1509
sg1iterdeconid0000947,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,1.750000,2.354545,74.5143
sg1iterdeconid0000948,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,1.843000,2.479673,20.1302
sg1iterdeconid0000949,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.249000,0.271636,99.5984
sg1iterdeconid0000950,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.480000,0.870982,56.875
sg1iterdeconid0000951,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.355000,0.415995,100.0
sg1iterdeconid0000952,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.952000,1.727447,78.6765
sg1iterdeconid0000953,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,1.287000,2.335320,56.7988
